, 530 
-10 , 2.872452E-03 
-9.9 ,-3.066639E-04 
-9.8 ,-6.685219E-04 
-9.7 ,-1.391334E-03 
-9.6 ,-4.629132E-03 
-9.5 ,-5.780991E-04 
-9.4 , 5.524337E-03 
-9.3 ,-6.685219E-04 
-9.2 ,-2.563305E-03 
-9.1 , 1.460693E-04 
-9 , 1.325411E-03 
-8.9 , 9.621913E-04 
-8.8 , 7.806952E-04 
-8.7 ,-1.120407E-03 
-8.6 ,-1.210744E-03 
-8.5 , 5.992751E-04 
-8.4 , 3.328513E-03 
-8.3 ,-3.508603E-05 
-8.2 , 2.416869E-03 
-8.1 , 1.234564E-03 
-8 , 1.870784E-03 
-7.9 ,-5.780991E-04 
-7.8 , 2.234764E-03 
-7.7 ,-1.120407E-03 
-7.6 , 2.366618E-04 
-7.5 ,-1.391334E-03 
-7.4 , 1.598012E-03 
-7.3 ,-3.971702E-04 
-7.2 , 1.143763E-03 
-7.1 ,-8.493378E-04 
-7 , 2.234764E-03 
-6.9 ,-2.923288E-03 
-6.8 , 2.366618E-04 
-6.7 ,-1.662066E-03 
-6.6 , 5.086068E-04 
-6.5 ,-1.210744E-03 
-6.4 ,-3.462704E-03 
-6.3 ,-8.493378E-04 
-6.2 ,-1.752263E-03 
-6.1 , 7.806952E-04 
-6 ,-1.391334E-03 
-5.9 ,-2.473276E-03 
-5.8 , 4.179306E-04 
-5.7 , 1.460693E-04 
-5.6 , 5.086068E-04 
-5.5 , 9.621913E-04 
-5.4 , 2.366618E-04 
-5.3 ,-3.732148E-03 
-5.2 ,-1.256219E-04 
-5.1 , 3.273003E-04 
-5 ,-1.842469E-03 
-4.9 , 3.273003E-04 
-4.8 ,-6.774313E-03 
-4.7 , 2.416869E-03 
-4.6 ,-8.493378E-04 
-4.5 , 3.273003E-04 
-4.4 , 2.234764E-03 
-4.3 , 6.899892E-04 
-4.2 , 1.41625E-03 
-4.1 ,-1.391334E-03 
-4 ,-2.20305E-03 
-3.9 , 1.325411E-03 
-3.8 , 1.234564E-03 
-3.7 , 5.992751E-04 
-3.6 , 2.599051E-03 
-3.5 , 2.234764E-03 
-3.4 , 5.992751E-04 
-3.3 , 1.143763E-03 
-3.2 , 1.460693E-04 
-3.1 , 1.77985E-03 
-3 ,-2.161658E-04 
-2.9 , 2.366618E-04 
-2.8 ,-3.971702E-04 
