, 530 
 42 , 3.467292E-02 
 42.4 , 3.229296E-02 
 42.8 , 3.074571E-02 
 43.2 , 0.0327776 
 43.6 , 3.263216E-02 
 44 , 3.365134E-02 
 44.4 , 3.031155E-02 
 44.8 , 3.171211E-02 
 45.2 , 0.0311803 
 45.6 , 3.127696E-02 
 46 , 3.185725E-02 
 46.4 , 3.079399E-02 
 46.8 , 2.978145E-02 
 47.2 , 3.113201E-02 
 47.6 , 3.180886E-02 
 48 , 3.055269E-02 
 48.4 , 3.180886E-02 
 48.8 , 3.234141E-02 
 49.2 , 3.171209E-02 
 49.6 , 3.079399E-02 
 50 , 3.224451E-02 
 50.4 , 3.074571E-02 
 50.8 , 2.857918E-02 
 51.2 , 3.089052E-02 
 51.6 , 3.031152E-02 
 52 , 0.0284351 
 52.4 , 0.0284351 
 52.8 , 2.565943E-02 
 53.2 , 3.031155E-02 
 53.6 , 0.0294926 
 54 , 2.920395E-02 
 54.4 , 2.997413E-02 
 54.8 , 3.137361E-02 
 55.2 , 2.901161E-02 
 55.6 , 2.742808E-02 
 56 , 0.0273323 
 56.4 , 2.968516E-02 
 56.8 , 2.766764E-02 
 57.2 , 2.958888E-02 
 57.6 , 2.992597E-02 
 58 , 2.838712E-02 
 58.4 , 2.771558E-02 
 58.8 , 2.632782E-02 
 59.2 , 2.776349E-02 
 59.6 , 2.857918E-02 
 60 , 2.618449E-02 
 60.4 , 2.978145E-02 
 60.8 , 2.867523E-02 
 61.2 , 2.690151E-02 
 61.6 , 2.690151E-02 
 62 , 3.021511E-02 
 62.4 , 2.661457E-02 
 62.8 , 2.901161E-02 
 63.2 , 2.790732E-02 
 63.6 , 2.785939E-02 
 64 , 2.647118E-02 
 64.4 , 2.738017E-02 
 64.8 , 2.838709E-02 
 65.2 , 2.685369E-02 
 65.6 , 2.738017E-02 
 66 , 2.738017E-02 
 66.4 , 2.805122E-02 
 66.8 , 0.0282911 
 67.2 , 2.494449E-02 
 67.6 , 2.632782E-02 
 68 , 2.694936E-02 
 68.4 , 2.896353E-02 
 68.8 , 2.394549E-02 
 69.2 , 2.565943E-02 
 69.6 , 0.0282431 
 70 , 2.685369E-02 
 70.4 , 2.925205E-02 
 70.8 , 0.0282431 
 71.2 , 2.781144E-02 
 71.6 , 2.757182E-02 
 72 , 2.508738E-02 
 72.4 , 2.523033E-02 
 72.8 , 2.699722E-02 
 73.2 , 0.0287713 
 73.6 , 2.484923E-02 
 74 , 2.589803E-02 
 74.4 , 2.618452E-02 
 74.8 , 2.647118E-02 
 75.2 , 2.608899E-02 
 75.6 , 2.523033E-02 
 76 , 2.781144E-02 
 76.4 , 2.690151E-02 
 76.8 , 0.0284351 
 77.2 , 2.503974E-02 
 77.6 , 2.570715E-02 
 78 , 2.618449E-02 
 78.4 , 2.694936E-02 
 78.8 , 2.623226E-02 
 79.2 , 2.675802E-02 
 79.6 , 2.508738E-02 
 80 , 2.661457E-02 
 80.4 , 2.738017E-02 
 80.8 , 2.853115E-02 
 81.2 , 2.833911E-02 
 81.6 , 2.833911E-02 
 82 , 0.0273323 
 82.4 , 2.484923E-02 
 82.8 , 2.537332E-02 
 83.2 , 2.385048E-02 
 83.6 , 2.503974E-02 
 84 , 2.532564E-02 
 84.4 , 2.556405E-02 
 84.8 , 2.819514E-02 
 85.2 , 0.025421 
 85.6 , 2.446848E-02 
 86 , 2.694936E-02 
 86.4 , 2.642338E-02 
 86.8 , 2.475403E-02 
 87.2 , 2.551635E-02 
 87.6 , 2.690151E-02 
 88 , 2.714079E-02 
 88.4 , 2.537332E-02 
 88.8 , 2.465881E-02 
 89.2 , 2.642338E-02 
 89.6 , 2.385048E-02 
 90 , 2.513504E-02 
 90.4 , 2.494449E-02 
 90.8 , 2.628004E-02 
 91.2 , 2.494449E-02 
 91.6 , 2.413559E-02 
 92 , 2.585029E-02 
 92.4 , 2.551635E-02 
 92.8 , 2.589803E-02 
 93.2 , 2.204902E-02 
 93.6 , 2.651898E-02 
 94 , 2.209632E-02 
 94.4 , 2.805122E-02 
 94.8 , 2.432579E-02 
 95.2 , 2.685369E-02 
 95.6 , 2.366049E-02 
 96 , 2.432579E-02 
 96.4 , 2.618449E-02 
 96.8 , 2.484923E-02 
 97.2 , 2.647118E-02 
 97.6 , 2.437335E-02 
 98 , 2.299622E-02 
 98.4 , 2.671019E-02 
 98.8 , 2.518266E-02 
 99.2 , 2.523033E-02 
 99.6 , 2.380297E-02 
 100 , 2.456365E-02 
 100.4 , 2.513504E-02 
