, 580 
-1034.8 , 0 
-1024.3 , 2.224956E-05 
-1014 , 7.589403E-05 
-1003.8 , 4.009438E-05 
-993.7 , 4.179964E-05 
-983.7 ,-3.475523E-05 
-973.8 ,-1.791706E-05 
-964 , 4.708383E-06 
-954.3 ,-4.78546E-05 
-944.7 , 4.451968E-05 
-935.1 ,-4.469647E-05 
-925.6 ,-9.525321E-05 
-916.2 ,-2.764294E-05 
-906.9 , 5.248524E-05 
-897.7 , 2.075945E-05 
-888.6 ,-3.978757E-05 
-879.6 ,-3.197664E-07 
-870.7 , 6.642836E-05 
-861.9 ,-7.957558E-05 
-853.2 , 3.448276E-05 
-844.6 , 1.896176E-04 
-836 ,-9.534311E-05 
-827.5 ,-1.79614E-05 
-819.1 ,-2.27945E-06 
-810.8 ,-5.759911E-05 
-802.6 ,-1.571913E-05 
-794.5 , 7.4964E-05 
-786.5 , 1.423686E-05 
-778.5 , 1.165992E-04 
-770.6 ,-8.140121E-05 
-762.8 , 1.7233E-05 
-755.1 ,-1.831823E-05 
-747.5 , 1.054145E-04 
-739.9 ,-4.432955E-05 
-732.4 ,-1.028686E-04 
-725 , 2.725375E-05 
-717.6 ,-6.450935E-05 
-710.3 , 6.350844E-05 
-703.1 ,-3.765485E-05 
-696 , 1.459593E-04 
-689 , 2.111054E-04 
-682 ,-2.866535E-05 
-675.1 ,-5.863203E-05 
-668.3 , 2.521325E-05 
-661.5 , 8.848106E-05 
-654.8 , 2.955763E-05 
-648.2 , 2.516098E-06 
-641.6 ,-4.546169E-05 
-635.1 ,-1.247874E-04 
-628.7 ,-1.379527E-04 
-622.3 ,-6.478558E-05 
-616 ,-8.346456E-05 
-609.8 , 2.821337E-05 
-603.6 ,-1.305241E-04 
-597.4 , 5.072739E-05 
-591.3 ,-2.225823E-04 
-585.3 , 6.018719E-06 
-579.3 ,-1.147526E-04 
-573.4 ,-7.838793E-05 
-567.6 ,-3.459247E-06 
-561.8 ,-1.261565E-04 
-556.1 , 5.805198E-05 
-550.5 ,-7.343337E-05 
-544.9 , 1.400822E-04 
-539.3 ,-9.177043E-06 
-533.8 , 4.736309E-05 
-528.4 , 1.311937E-04 
-523 ,-3.863855E-05 
-517.6 , 5.695772E-06 
-512.3 , 4.278167E-05 
-507.1 , 9.046816E-05 
-501.9 , 9.563915E-05 
-496.8 , 1.33021E-04 
-491.8 , 8.270407E-06 
-486.8 ,-2.141436E-04 
-481.8 ,-6.74706E-05 
-476.9 , 5.401268E-05 
-472.1 ,-2.29558E-04 
-467.3 , 6.281846E-05 
-462.5 , 1.131991E-05 
-457.7 ,-1.585478E-04 
-453 ,-1.220003E-05 
-448.4 , 1.774043E-04 
-443.8 ,-4.746449E-05 
-439.2 , 2.228038E-04 
-434.7 , 4.369242E-05 
-430.3 , 9.146568E-05 
-425.9 ,-1.600639E-04 
-421.5 ,-1.679563E-04 
-417.2 , 3.217775E-05 
-413 , 1.138175E-04 
-408.8 , 6.975032E-05 
-404.6 ,-3.005329E-05 
-400.4 , 7.038488E-05 
-396.3 , 3.827073E-05 
-392.3 , 2.062417E-04 
-388.3 , 2.748873E-05 
-384.3 ,-2.401102E-04 
-380.3 , 2.791108E-05 
-376.4 , 3.104482E-05 
-372.6 , 8.080043E-05 
-368.8 , 5.16069E-05 
-365 , 1.01847E-04 
-361.2 , 7.887131E-05 
-357.5 ,-1.061746E-04 
-353.9 ,-5.236838E-05 
-350.3 ,-9.191292E-05 
-346.7 , 3.405091E-05 
-343.1 , 1.424056E-04 
-339.5 , 1.7362E-04 
-336 ,-4.606957E-05 
-332.6 , 7.435813E-05 
-329.2 , 2.602607E-05 
-325.8 , 4.040518E-05 
-322.4 ,-1.412709E-04 
-319 , 2.219143E-05 
-315.7 , 1.381517E-04 
-312.5 ,-1.364786E-04 
-309.3 , 4.706171E-05 
-306.1 ,-1.79598E-05 
-302.9 ,-8.486146E-05 
-299.7 , 2.627565E-04 
-296.6 , 1.430742E-04 
-293.6 , 1.627998E-06 
-290.6 , 9.867224E-05 
-287.6 ,-1.320618E-04 
-284.6 ,-1.349574E-04 
-281.6 , 2.646837E-05 
-278.6 ,-5.435005E-05 
-275.7 , 5.97415E-05 
-272.9 , 9.010414E-05 
-270.1 , 2.315405E-05 
-267.3 , 2.87762E-05 
-264.5 , 6.479849E-05 
-261.7 ,-6.09416E-05 
-258.9 , 2.421158E-05 
-256.2 ,-1.174937E-04 
-253.6 , 1.900741E-04 
-251 ,-2.725348E-04 
-248.4 , 3.875264E-05 
-245.8 , 1.233606E-04 
-243.2 , 7.723342E-05 
-240.6 , 1.014706E-04 
-238.1 ,-6.486206E-06 
-235.7 , 1.822698E-04 
-233.3 ,-6.013512E-05 
-230.9 ,-1.873929E-04 
-228.5 ,-4.144923E-05 
-226.1 ,-1.331667E-04 
