, 420 , 430 , 440 , 450 , 460 , 470 , 480 , 490 , 500 , 510 , 520 , 530 , 540 , 550 , 560 , 570 , 580 , 590 , 600 , 610 , 620 , 630 , 640 , 650 , 660 , 670 , 680 , 690 , 700 , 710 , 720 , 730 , 740 , 750 , 760 , 770 , 780 , 790 , 800 
-140 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
-130 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
-120 , 2.916104E-04 , 7.413019E-04 ,-1.836906E-04 , 2.321712E-04 , 3.023334E-04 ,-1.006113E-04 , 4.055724E-04 ,-1.683118E-04 , 8.56965E-05 ,-1.737405E-04 ,-1.198276E-04 , 4.697806E-05 ,-1.487626E-04 , 1.518798E-04 ,-1.96119E-05 ,-8.358998E-05 , 1.706864E-04 ,-6.221789E-05 , 3.665177E-05 , 3.030729E-04 , 8.351962E-05 , 3.269993E-05 , 4.857007E-05 ,-2.744031E-05 , 2.079134E-04 , 2.29481E-04 ,-1.721458E-04 ,-4.694742E-04 , 8.391752E-05 ,-1.295831E-04 ,-5.409219E-05 , 7.692191E-04 , 4.887866E-05 , 5.414399E-05 , 7.726791E-06 , 4.167851E-04 , 1.544889E-04 ,-1.05974E-04 ,-2.56662E-04 
-110 ,-1.442331E-04 ,-2.915477E-04 ,-4.155147E-04 ,-7.116884E-04 , 1.44165E-04 ,-6.365002E-05 , 3.312914E-05 , 2.706468E-04 ,-2.173665E-04 ,-5.637398E-06 , 5.287898E-05 ,-1.30866E-04 ,-5.668044E-05 , 1.275545E-04 , 1.507587E-04 , 5.46152E-05 ,-1.063916E-04 ,-2.900021E-05 ,-6.162534E-05 , 5.820233E-05 , 1.555083E-04 ,-4.192013E-05 , 6.457256E-05 , 1.299338E-04 ,-1.436668E-04 ,-2.756655E-04 ,-9.401751E-05 ,-1.65685E-04 , 2.492539E-04 , 3.907766E-06 , 3.787482E-04 ,-2.629255E-04 , 2.053884E-06 ,-2.091339E-04 ,-3.558716E-04 , 3.93904E-04 ,-4.855758E-04 , 1.395066E-04 , 2.237515E-04 
-100 ,-5.502989E-05 ,-5.137004E-04 , 0 ,-1.191189E-04 ,-1.993702E-04 , 3.79047E-05 ,-1.020199E-04 , 2.978542E-05 , 1.073463E-04 , 9.338347E-05 ,-4.852592E-05 ,-5.147453E-05 , 9.38525E-05 ,-2.582702E-04 ,-8.151124E-05 , 1.9222E-04 ,-1.691433E-04 , 1.55631E-06 , 2.259491E-04 ,-3.270379E-05 ,-1.015196E-04 , 5.870647E-05 , 2.893552E-04 ,-7.651495E-05 ,-1.953249E-04 ,-1.404249E-05 ,-1.229026E-04 , 3.87141E-04 ,-4.628843E-04 ,-1.363994E-04 ,-2.421353E-05 ,-3.587114E-05 , 1.920802E-04 , 5.138766E-04 , 9.425486E-05 ,-2.914931E-05 ,-7.088151E-04 ,-3.720784E-05 ,-5.09735E-04 
-90 ,-4.926996E-04 , 2.49705E-04 , 3.918821E-04 ,-1.168619E-04 , 3.790742E-04 , 6.777275E-05 , 3.611339E-06 , 7.153852E-05 ,-1.753811E-04 ,-2.028182E-04 ,-5.969066E-05 ,-2.053583E-04 , 2.278601E-05 ,-3.102464E-05 ,-2.448407E-04 , 3.262826E-05 ,-2.11067E-05 , 1.081169E-04 ,-7.989629E-05 , 1.873026E-04 ,-3.952573E-05 ,-5.5567E-05 , 3.93324E-05 ,-9.783639E-05 , 2.431419E-04 , 9.917925E-05 , 4.414193E-04 , 1.810216E-04 ,-3.006053E-04 , 3.659733E-04 , 1.760896E-04 ,-4.38222E-04 , 3.67222E-04 , 2.292422E-04 , 1.886639E-04 , 4.064407E-04 ,-8.747335E-04 ,-3.236862E-04 , 5.734246E-04 
-80 , 1.228027E-04 ,-6.167423E-05 ,-2.007841E-04 , 5.649063E-05 ,-6.347534E-06 , 1.25832E-04 ,-5.89328E-05 , 1.451419E-04 , 1.072151E-04 , 1.358944E-04 , 5.606158E-05 ,-5.840447E-05 ,-1.822174E-05 ,-8.806332E-05 ,-1.136661E-04 ,-6.639724E-05 , 7.748689E-05 , 9.883674E-05 , 8.385316E-05 , 5.162581E-06 , 1.284835E-04 , 1.629207E-04 ,-4.340883E-04 ,-1.913E-05 ,-1.466251E-04 ,-6.858246E-05 ,-1.02093E-07 , 6.636089E-05 , 4.760898E-05 , 5.456217E-04 ,-2.239952E-04 , 3.210859E-04 ,-4.537665E-04 , 3.989492E-05 , 8.184681E-05 ,-7.110161E-04 , 3.416954E-04 , 3.573634E-04 , 1.86152E-04 
-70 , 1.901921E-04 ,-4.139919E-04 , 4.851986E-04 ,-2.050167E-04 ,-1.800116E-04 ,-2.897547E-05 , 2.303673E-04 , 2.441505E-04 ,-6.920608E-05 , 1.819411E-04 , 1.385901E-04 , 7.704549E-05 ,-2.219303E-04 ,-2.639793E-04 , 9.068259E-05 , 3.935026E-05 ,-1.635573E-04 , 5.78865E-05 , 1.318789E-04 ,-2.054156E-04 ,-6.172672E-06 ,-3.67787E-06 , 1.160408E-04 , 6.421711E-05 , 1.564602E-04 , 1.596847E-04 ,-1.791696E-05 ,-3.661027E-05 , 5.38209E-04 ,-3.1924E-04 ,-4.217691E-04 , 1.037357E-04 ,-1.603655E-04 ,-6.911166E-04 ,-3.534364E-05 , 3.931656E-06 , 1.485096E-04 , 9.252193E-05 ,-3.47812E-04 
-60 ,-8.612016E-05 , 3.503073E-04 , 3.525158E-05 , 1.899619E-04 , 3.135539E-04 , 4.659292E-04 , 1.669716E-04 , 2.073389E-04 , 9.897493E-05 , 8.675168E-06 , 8.291574E-05 , 2.176643E-04 , 5.249653E-05 , 2.937588E-05 , 1.674163E-04 ,-1.73634E-05 , 1.445028E-04 ,-6.721529E-05 , 2.246175E-04 ,-1.937919E-04 ,-1.387947E-04 , 2.186881E-04 ,-3.50088E-05 ,-2.094694E-04 , 2.447046E-04 , 2.999153E-06 , 2.092901E-04 ,-1.035482E-04 , 1.05205E-04 , 1.183805E-04 , 2.893216E-04 , 1.957766E-04 , 1.922345E-05 ,-1.197137E-04 ,-2.441653E-04 , 3.740036E-04 ,-1.439011E-04 ,-1.862995E-04 ,-5.149976E-04 
