, 450 
-135.6 , 2.739832E-04 
-134.2 , 4.035386E-04 
-132.8 ,-9.718474E-05 
-131.4 , 1.714092E-04 
-130 , 3.802509E-04 
-128.6 ,-5.003182E-05 
-127.2 ,-5.259278E-04 
-125.8 , 1.654032E-04 
-124.4 ,-2.02699E-04 
-123 , 9.023474E-04 
-121.6 , 3.626103E-05 
-120.2 , 1.71367E-04 
-118.9 ,-2.617132E-04 
-117.7 , 1.144173E-04 
-116.5 ,-1.715448E-04 
-115.3 ,-4.008253E-04 
-114.1 ,-2.074702E-04 
-112.9 ,-1.45623E-04 
-111.7 , 4.126898E-05 
-110.5 ,-9.314616E-04 
-109.3 , 5.192282E-04 
-108.1 , 2.969055E-04 
-106.9 ,-9.788301E-05 
-105.7 , 2.465355E-05 
-104.5 , 6.416872E-04 
-103.3 ,-5.924442E-05 
-102.1 ,-1.730729E-04 
-100.9 , 3.119491E-04 
-99.7 , 1.609981E-04 
-98.6 , 2.956895E-04 
-97.6 , 2.828017E-05 
-96.6 ,-3.656446E-04 
-95.6 ,-4.66427E-04 
-94.6 , 5.351431E-04 
-93.6 ,-3.048709E-04 
-92.6 ,-2.307544E-04 
-91.6 , 4.073059E-04 
-90.6 , 2.574461E-04 
-89.6 , 2.416384E-04 
-88.6 , 2.479318E-04 
-87.6 ,-3.670354E-04 
-86.6 , 5.206372E-04 
-85.6 ,-5.368374E-05 
-84.6 ,-1.220906E-04 
-83.6 , 3.319859E-04 
-82.6 , 5.329169E-04 
-81.6 ,-5.28181E-04 
-80.6 , 6.214178E-05 
-79.6 ,-1.449393E-04 
-78.7 , 2.534438E-04 
-77.9 ,-1.094511E-04 
-77.1 , 3.799295E-04 
-76.3 ,-1.48644E-04 
-75.5 , 6.648076E-04 
-74.7 ,-8.311754E-04 
-73.9 , 1.456096E-03 
-73.1 ,-7.845846E-05 
-72.3 , 1.717897E-04 
-71.5 , 4.011719E-04 
-70.7 ,-1.957392E-04 
-69.9 , 3.915213E-04 
-69.1 , 3.015069E-04 
-68.3 , 4.66103E-04 
-67.5 ,-9.350122E-04 
-66.7 , 8.788877E-04 
-65.9 , 5.652155E-04 
-65.1 ,-3.348893E-05 
-64.3 ,-5.012511E-04 
-63.5 ,-6.799339E-06 
-62.7 , 6.978837E-04 
-61.9 , 6.448566E-04 
-61.1 , 5.669921E-06 
-60.3 ,-1.029462E-03 
-59.6 , 6.320862E-04 
-59 ,-7.318063E-04 
-58.4 , 8.184227E-04 
-57.8 ,-1.145692E-03 
-57.2 ,-9.621426E-05 
-56.6 , 2.132322E-04 
-56 , 5.885016E-04 
-55.4 ,-2.05612E-04 
-54.8 ,-4.743354E-05 
-54.2 ,-4.328765E-04 
-53.6 , 9.315576E-04 
-53 ,-1.694012E-05 
-52.4 ,-7.59854E-04 
-51.8 ,-6.805912E-04 
-51.2 , 7.029998E-04 
-50.6 , 4.768754E-04 
-50 , 7.480287E-04 
-49.4 ,-5.986975E-04 
-48.8 , 1.510336E-04 
-48.2 ,-4.895051E-05 
-47.6 , 2.388249E-04 
-47 , 3.220617E-04 
-46.4 , 3.697932E-04 
-45.8 ,-2.8826E-04 
-45.2 , 4.032522E-05 
-44.6 , 1.002751E-05 
-44 , 1.185384E-03 
-43.4 , 8.665074E-04 
-42.8 , 3.618155E-05 
-42.2 , 3.938561E-04 
-41.6 , 2.947749E-04 
-41 ,-7.86432E-06 
-40.4 , 2.692443E-04 
-39.8 ,-3.206751E-04 
-39.3 ,-4.256492E-04 
-38.9 ,-1.571352E-04 
-38.5 ,-1.745759E-03 
-38.1 ,-5.162247E-04 
-37.7 ,-2.309856E-04 
-37.3 ,-1.383795E-04 
-36.9 , 1.303621E-03 
-36.5 ,-2.940455E-04 
-36.1 , 1.689771E-03 
-35.7 ,-1.619059E-03 
-35.3 , 1.348233E-03 
-34.9 ,-2.996451E-04 
-34.5 ,-2.274672E-04 
-34.1 ,-3.007177E-04 
-33.7 ,-1.555308E-03 
-33.3 , 1.356173E-03 
-32.9 ,-3.761041E-04 
-32.5 , 6.283215E-04 
-32.1 ,-3.479226E-04 
-31.7 , 2.596307E-04 
-31.3 , 6.886406E-04 
-30.9 , 1.442853E-04 
-30.5 , 2.447897E-04 
-30.1 ,-4.345252E-04 
-29.7 ,-6.688394E-04 
-29.3 , 1.081663E-03 
-28.9 ,-5.19695E-04 
-28.5 ,-2.961694E-04 
-28.1 , 2.872245E-04 
-27.7 ,-7.235371E-04 
-27.3 ,-4.799439E-04 
-26.9 , 1.850819E-04 
-26.5 ,-9.710183E-04 
-26.1 ,-3.885206E-04 
-25.7 , 4.181053E-04 
-25.3 ,-1.189076E-03 
-24.9 , 1.478575E-03 
-24.5 ,-1.737158E-03 
-24.1 , 5.695098E-04 
-23.7 ,-4.344029E-04 
-23.3 ,-3.118373E-04 
-22.9 , 1.745587E-04 
-22.5 ,-1.410115E-03 
-22.1 , 2.420115E-04 
-21.7 , 4.586008E-04 
-21.3 , 0.0013225 
-20.9 ,-4.189959E-04 
-20.5 , 1.894565E-03 
-20.1 , 1.333839E-03 
-19.8 ,-1.430191E-04 
-19.6 , 2.211299E-04 
-19.4 , 1.012015E-03 
-19.2 , 7.266608E-04 
-19 ,-5.085875E-04 
-18.8 ,-3.096078E-04 
-18.6 , 3.748633E-04 
-18.4 , 1.160353E-03 
-18.2 ,-2.501818E-04 
-18 , 5.970345E-04 
-17.8 ,-1.633142E-03 
-17.6 , 6.175261E-04 
-17.4 ,-2.304656E-04 
-17.2 ,-1.222179E-03 
-17 ,-1.155454E-03 
-16.8 ,-3.433195E-04 
-16.6 ,-9.672761E-04 
-16.4 , 6.680365E-04 
-16.2 ,-5.174358E-04 
-16 ,-6.515523E-04 
-15.8 ,-1.24058E-03 
-15.6 ,-1.125176E-04 
-15.4 , 1.392069E-03 
-15.2 ,-5.886596E-05 
-15 , 1.153939E-03 
-14.8 ,-6.288869E-04 
-14.6 , 1.005036E-03 
-14.4 ,-1.02923E-03 
-14.2 ,-1.263355E-03 
-14 ,-1.077652E-03 
-13.8 ,-7.164334E-04 
-13.6 ,-1.663255E-03 
-13.4 ,-1.743039E-03 
-13.2 ,-1.663537E-03 
-13 , 1.460162E-03 
-12.8 , 8.332992E-04 
-12.6 ,-3.308193E-04 
-12.4 ,-1.098402E-03 
-12.2 , 2.758449E-03 
-12 ,-2.707457E-04 
-11.8 , 2.318057E-04 
-11.6 , 1.268006E-03 
-11.4 ,-9.033363E-04 
-11.2 ,-7.725466E-04 
-11 , 1.036753E-03 
-10.8 , 1.344171E-03 
-10.6 , 2.084633E-03 
-10.4 ,-5.494919E-04 
-10.2 ,-1.045099E-04 
-10 ,-3.529223E-05 
-9.8 ,-8.97179E-04 
-9.6 ,-7.6667E-04 
-9.4 , 5.911678E-04 
-9.2 , 1.533237E-03 
-9 , 9.535789E-04 
-8.8 , 5.870016E-04 
-8.6 ,-3.729281E-04 
-8.4 , 2.315164E-03 
-8.2 ,-1.327384E-05 
-8 , 1.945304E-03 
-7.8 , 4.291135E-04 
-7.6 ,-0.0024635 
-7.4 ,-3.693933E-04 
-7.2 , 1.246292E-03 
-7 ,-3.016238E-03 
-6.8 ,-1.794879E-04 
-6.6 , 4.17583E-04 
-6.4 , 2.53781E-04 
-6.2 ,-1.800034E-03 
-6 ,-6.207191E-04 
-5.8 , 2.179584E-04 
-5.6 , 5.993585E-04 
-5.4 , 1.044697E-03 
-5.2 , 1.130471E-03 
-5 ,-2.041854E-04 
-4.8 ,-6.226625E-07 
-4.6 , 1.175592E-03 
-4.4 ,-1.398139E-05 
-4.2 , 9.92384E-04 
-4 ,-6.296929E-05 
-3.8 , 5.381442E-04 
-3.6 , 1.332077E-03 
-3.4 , 2.233451E-03 
-3.2 ,-1.617521E-03 
-3 ,-2.291936E-03 
-2.8 , 1.041406E-03 
-2.6 ,-1.423055E-03 
-2.4 ,-3.001613E-04 
-2.2 , 2.499012E-04 
-2 ,-4.932908E-05 
-1.8 , 1.875343E-03 
-1.6 ,-3.361644E-04 
-1.4 , 5.718677E-04 
-1.2 , 2.297951E-04 
-1 ,-1.634467E-03 
-0.8 , 7.588963E-04 
-0.6 ,-1.371088E-03 
-0.4 , 5.792645E-04 
-0.2 ,-1.518338E-03 
 2.43099E-07 , 1.075282E-03 
 0.2 , 1.821066E-02 
 0.4 , 2.364214E-02 
 0.6 , 2.190328E-02 
 0.8 , 2.146735E-02 
 1 , 2.371961E-02 
 1.2 , 2.337826E-02 
 1.4 , 2.209827E-02 
 1.6 , 2.128977E-02 
 1.8 , 0.0209165 
 2 , 2.153959E-02 
 2.2 , 2.279228E-02 
 2.4 , 2.304527E-02 
 2.6 , 2.166295E-02 
 2.8 , 2.184333E-02 
 3 , 2.120221E-02 
 3.2 , 2.066045E-02 
 3.4 , 2.142433E-02 
 3.6 , 2.406443E-02 
 3.8 , 2.353838E-02 
 4 , 2.322808E-02 
 4.2 , 2.431076E-02 
 4.4 , 2.149569E-02 
 4.6 , 2.245402E-02 
 4.8 , 2.138437E-02 
 5 , 2.323725E-02 
 5.2 , 2.269297E-02 
 5.4 , 2.243193E-02 
 5.6 , 2.176637E-02 
 5.8 , 2.398447E-02 
 6 , 0.0217542 
 6.2 , 2.262677E-02 
 6.4 , 2.131985E-02 
 6.6 , 2.522037E-02 
 6.8 , 2.087388E-02 
 7 , 2.277609E-02 
 7.2 , 2.261684E-02 
 7.4 , 2.138802E-02 
 7.6 , 2.014909E-02 
 7.8 , 2.216358E-02 
 8 , 2.461228E-02 
 8.2 , 2.121428E-02 
 8.4 , 2.301244E-02 
 8.6 , 2.266208E-02 
 8.8 , 2.157912E-02 
 9 , 2.341867E-02 
 9.2 , 2.002118E-02 
 9.4 , 1.939283E-02 
 9.6 , 0.0228793 
 9.8 , 2.261735E-02 
 10 , 2.259403E-02 
 10.2 , 2.294742E-02 
 10.4 , 2.098962E-02 
 10.6 , 2.203969E-02 
 10.8 , 1.979904E-02 
 11 , 2.357848E-02 
 11.2 , 2.310434E-02 
 11.4 , 2.104832E-02 
 11.6 , 2.253581E-02 
 11.8 , 2.100676E-02 
 12 , 2.247432E-02 
 12.2 , 2.307717E-02 
 12.4 , 2.255131E-02 
 12.6 , 2.159364E-02 
 12.8 , 2.084365E-02 
 13 , 2.031082E-02 
 13.2 , 0.0212028 
 13.4 , 2.351069E-02 
